,date,home_team,score,away_team,season
104,04-03-2018,Brighton,2 - 1,Arsenal,17/18
105,10-03-2018,Everton,2 - 0,Brighton,17/18
106,31-03-2018,Brighton,0 - 2,Leicester,17/18
107,07-04-2018,Brighton,1 - 1,Huddersfield,17/18
108,14-04-2018,Crystal Palace,3 - 2,Brighton,17/18
109,17-04-2018,Brighton,1 - 1,Tottenham,17/18
110,28-04-2018,Burnley,0 - 0,Brighton,17/18
111,04-05-2018,Brighton,1 - 0,Man United,17/18
112,09-05-2018,Man City,3 - 1,Brighton,17/18
113,13-05-2018,Liverpool,4 - 0,Brighton,17/18
114,12-08-2017,Chelsea,2 - 3,Burnley,17/18
115,19-08-2017,Burnley,0 - 1,West Brom,17/18
116,27-08-2017,Tottenham,1 - 1,Burnley,17/18
117,10-09-2017,Burnley,1 - 0,Crystal Palace,17/18
118,16-09-2017,Liverpool,1 - 1,Burnley,17/18
119,23-09-2017,Burnley,0 - 0,Huddersfield,17/18
120,01-10-2017,Everton,0 - 1,Burnley,17/18
121,14-10-2017,Burnley,1 - 1,West Ham,17/18
122,21-10-2017,Man City,3 - 0,Burnley,17/18
123,30-10-2017,Burnley,1 - 0,Newcastle,17/18
124,04-11-2017,Southampton,0 - 1,Burnley,17/18
125,18-11-2017,Burnley,2 - 0,Swansea,17/18
126,26-11-2017,Burnley,0 - 1,Arsenal,17/18
127,29-11-2017,Bournemouth,1 - 2,Burnley,17/18
128,02-12-2017,Leicester,1 - 0,Burnley,17/18
129,09-12-2017,Burnley,1 - 0,Watford,17/18
130,12-12-2017,Burnley,1 - 0,Stoke,17/18
131,16-12-2017,Brighton,0 - 0,Burnley,17/18
132,23-12-2017,Burnley,0 - 3,Tottenham,17/18
133,26-12-2017,Man United,2 - 2,Burnley,17/18
134,30-12-2017,Huddersfield,0 - 0,Burnley,17/18
135,01-01-2018,Burnley,1 - 2,Liverpool,17/18
136,13-01-2018,Crystal Palace,1 - 0,Burnley,17/18
137,20-01-2018,Burnley,0 - 1,Man United,17/18
138,31-01-2018,Newcastle,1 - 1,Burnley,17/18
139,03-02-2018,Burnley,1 - 1,Man City,17/18
140,10-02-2018,Swansea,1 - 0,Burnley,17/18
141,24-02-2018,Burnley,1 - 1,Southampton,17/18
142,03-03-2018,Burnley,2 - 1,Everton,17/18
143,10-03-2018,West Ham,0 - 3,Burnley,17/18
144,31-03-2018,West Brom,1 - 2,Burnley,17/18
145,07-04-2018,Watford,1 - 2,Burnley,17/18
146,14-04-2018,Burnley,2 - 1,Leicester,17/18
147,19-04-2018,Burnley,1 - 2,Chelsea,17/18
