,date,home_team,score,away_team,season
464,21-10-2017,Newcastle,1 - 0,Crystal Palace,17/18
465,30-10-2017,Burnley,1 - 0,Newcastle,17/18
466,04-11-2017,Newcastle,0 - 1,Bournemouth,17/18
467,18-11-2017,Man United,4 - 1,Newcastle,17/18
468,25-11-2017,Newcastle,0 - 3,Watford,17/18
469,28-11-2017,West Brom,2 - 2,Newcastle,17/18
470,02-12-2017,Chelsea,3 - 1,Newcastle,17/18
471,09-12-2017,Newcastle,2 - 3,Leicester,17/18
472,13-12-2017,Newcastle,0 - 1,Everton,17/18
473,16-12-2017,Arsenal,1 - 0,Newcastle,17/18
474,23-12-2017,West Ham,2 - 3,Newcastle,17/18
475,27-12-2017,Newcastle,0 - 1,Man City,17/18
476,30-12-2017,Newcastle,0 - 0,Brighton,17/18
477,01-01-2018,Stoke,0 - 1,Newcastle,17/18
478,13-01-2018,Newcastle,1 - 1,Swansea,17/18
479,20-01-2018,Man City,3 - 1,Newcastle,17/18
480,31-01-2018,Newcastle,1 - 1,Burnley,17/18
481,04-02-2018,Crystal Palace,1 - 1,Newcastle,17/18
482,11-02-2018,Newcastle,1 - 0,Man United,17/18
483,24-02-2018,Bournemouth,2 - 2,Newcastle,17/18
484,03-03-2018,Liverpool,2 - 0,Newcastle,17/18
485,10-03-2018,Newcastle,3 - 0,Southampton,17/18
486,31-03-2018,Newcastle,1 - 0,Huddersfield,17/18
487,07-04-2018,Leicester,1 - 2,Newcastle,17/18
488,15-04-2018,Newcastle,2 - 1,Arsenal,17/18
489,23-04-2018,Everton,1 - 0,Newcastle,17/18
490,28-04-2018,Newcastle,0 - 1,West Brom,17/18
491,05-05-2018,Watford,2 - 1,Newcastle,17/18
492,09-05-2018,Tottenham,1 - 0,Newcastle,17/18
493,13-05-2018,Newcastle,3 - 0,Chelsea,17/18
494,12-08-2017,Southampton,0 - 0,Swansea,17/18
495,19-08-2017,Southampton,3 - 2,West Ham,17/18
496,26-08-2017,Huddersfield,0 - 0,Southampton,17/18
497,09-09-2017,Southampton,0 - 2,Watford,17/18
498,16-09-2017,Crystal Palace,0 - 1,Southampton,17/18
499,23-09-2017,Southampton,0 - 1,Man United,17/18
500,30-09-2017,Stoke,2 - 1,Southampton,17/18
501,15-10-2017,Southampton,2 - 2,Newcastle,17/18
502,21-10-2017,Southampton,1 - 0,West Brom,17/18
503,29-10-2017,Brighton,1 - 1,Southampton,17/18
504,04-11-2017,Southampton,0 - 1,Burnley,17/18
505,18-11-2017,Liverpool,3 - 0,Southampton,17/18
506,26-11-2017,Southampton,4 - 1,Everton,17/18
507,29-11-2017,Man City,2 - 1,Southampton,17/18
508,03-12-2017,Bournemouth,1 - 1,Southampton,17/18
509,10-12-2017,Southampton,1 - 1,Arsenal,17/18
510,13-12-2017,Southampton,1 - 4,Leicester,17/18
511,16-12-2017,Chelsea,1 - 0,Southampton,17/18
512,23-12-2017,Southampton,1 - 1,Huddersfield,17/18
513,26-12-2017,Tottenham,5 - 2,Southampton,17/18
514,30-12-2017,Man United,0 - 0,Southampton,17/18
515,02-01-2018,Southampton,1 - 2,Crystal Palace,17/18
516,13-01-2018,Watford,2 - 2,Southampton,17/18
517,21-01-2018,Southampton,1 - 1,Tottenham,17/18
518,31-01-2018,Southampton,1 - 1,Brighton,17/18
519,03-02-2018,West Brom,2 - 3,Southampton,17/18
520,11-02-2018,Southampton,0 - 2,Liverpool,17/18
521,24-02-2018,Burnley,1 - 1,Southampton,17/18
522,03-03-2018,Southampton,0 - 0,Stoke,17/18
523,10-03-2018,Newcastle,3 - 0,Southampton,17/18
524,31-03-2018,West Ham,3 - 0,Southampton,17/18
525,08-04-2018,Arsenal,3 - 2,Southampton,17/18
526,14-04-2018,Southampton,2 - 3,Chelsea,17/18
527,19-04-2018,Leicester,0 - 0,Southampton,17/18
528,28-04-2018,Southampton,2 - 1,Bournemouth,17/18
529,05-05-2018,Everton,1 - 1,Southampton,17/18
530,08-05-2018,Swansea,0 - 1,Southampton,17/18
531,13-05-2018,Southampton,0 - 1,Man City,17/18
532,12-08-2017,Everton,1 - 0,Stoke,17/18
533,19-08-2017,Stoke,1 - 0,Arsenal,17/18
534,27-08-2017,West Brom,1 - 1,Stoke,17/18
535,09-09-2017,Stoke,2 - 2,Man United,17/18
536,16-09-2017,Newcastle,2 - 1,Stoke,17/18
537,23-09-2017,Stoke,0 - 4,Chelsea,17/18
538,30-09-2017,Stoke,2 - 1,Southampton,17/18
539,14-10-2017,Man City,7 - 2,Stoke,17/18
540,21-10-2017,Stoke,1 - 2,Bournemouth,17/18
541,28-10-2017,Watford,0 - 1,Stoke,17/18
542,04-11-2017,Stoke,2 - 2,Leicester,17/18
543,20-11-2017,Brighton,2 - 2,Stoke,17/18
544,25-11-2017,Crystal Palace,2 - 1,Stoke,17/18
545,29-11-2017,Stoke,0 - 3,Liverpool,17/18
546,02-12-2017,Stoke,2 - 1,Swansea,17/18
547,09-12-2017,Tottenham,5 - 1,Stoke,17/18
548,12-12-2017,Burnley,1 - 0,Stoke,17/18
549,16-12-2017,Stoke,0 - 3,West Ham,17/18
550,23-12-2017,Stoke,3 - 1,West Brom,17/18
551,26-12-2017,Huddersfield,1 - 1,Stoke,17/18
552,30-12-2017,Chelsea,5 - 0,Stoke,17/18
553,01-01-2018,Stoke,0 - 1,Newcastle,17/18
554,15-01-2018,Man United,3 - 0,Stoke,17/18
555,20-01-2018,Stoke,2 - 0,Huddersfield,17/18
556,31-01-2018,Stoke,0 - 0,Watford,17/18
557,03-02-2018,Bournemouth,2 - 1,Stoke,17/18
558,10-02-2018,Stoke,1 - 1,Brighton,17/18
559,24-02-2018,Leicester,1 - 1,Stoke,17/18
560,03-03-2018,Southampton,0 - 0,Stoke,17/18
561,12-03-2018,Stoke,0 - 2,Man City,17/18
562,17-03-2018,Stoke,1 - 2,Everton,17/18
563,01-04-2018,Arsenal,3 - 0,Stoke,17/18
564,07-04-2018,Stoke,1 - 2,Tottenham,17/18
565,16-04-2018,West Ham,1 - 1,Stoke,17/18
566,22-04-2018,Stoke,1 - 1,Burnley,17/18
567,28-04-2018,Liverpool,0 - 0,Stoke,17/18
568,05-05-2018,Stoke,1 - 2,Crystal Palace,17/18
569,13-05-2018,Swansea,1 - 2,Stoke,17/18
570,12-08-2017,Southampton,0 - 0,Swansea,17/18
571,19-08-2017,Swansea,0 - 4,Man United,17/18
572,26-08-2017,Crystal Palace,0 - 2,Swansea,17/18
573,10-09-2017,Swansea,0 - 1,Newcastle,17/18
574,16-09-2017,Tottenham,0 - 0,Swansea,17/18
575,23-09-2017,Swansea,1 - 2,Watford,17/18
576,30-09-2017,West Ham,1 - 0,Swansea,17/18
577,14-10-2017,Swansea,2 - 0,Huddersfield,17/18
578,21-10-2017,Swansea,1 - 2,Leicester,17/18
579,28-10-2017,Arsenal,2 - 1,Swansea,17/18
580,04-11-2017,Swansea,0 - 1,Brighton,17/18
581,18-11-2017,Burnley,2 - 0,Swansea,17/18
582,25-11-2017,Swansea,0 - 0,Bournemouth,17/18
583,29-11-2017,Chelsea,1 - 0,Swansea,17/18
584,02-12-2017,Stoke,2 - 1,Swansea,17/18
585,09-12-2017,Swansea,1 - 0,West Brom,17/18
586,13-12-2017,Swansea,0 - 4,Man City,17/18
587,18-12-2017,Everton,3 - 1,Swansea,17/18
588,23-12-2017,Swansea,1 - 1,Crystal Palace,17/18
589,26-12-2017,Liverpool,5 - 0,Swansea,17/18
590,30-12-2017,Watford,1 - 2,Swansea,17/18
591,02-01-2018,Swansea,0 - 2,Tottenham,17/18
592,13-01-2018,Newcastle,1 - 1,Swansea,17/18
593,22-01-2018,Swansea,1 - 0,Liverpool,17/18
594,30-01-2018,Swansea,3 - 1,Arsenal,17/18
595,03-02-2018,Leicester,1 - 1,Swansea,17/18
596,10-02-2018,Swansea,1 - 0,Burnley,17/18
597,24-02-2018,Brighton,4 - 1,Swansea,17/18
598,03-03-2018,Swansea,4 - 1,West Ham,17/18
599,10-03-2018,Huddersfield,0 - 0,Swansea,17/18
600,31-03-2018,Man United,2 - 0,Swansea,17/18
601,07-04-2018,West Brom,1 - 1,Swansea,17/18
602,14-04-2018,Swansea,1 - 1,Everton,17/18
603,22-04-2018,Man City,5 - 0,Swansea,17/18
604,28-04-2018,Swansea,0 - 1,Chelsea,17/18
605,05-05-2018,Bournemouth,1 - 0,Swansea,17/18
606,08-05-2018,Swansea,0 - 1,Southampton,17/18
607,13-05-2018,Swansea,1 - 2,Stoke,17/18
608,13-08-2017,Newcastle,0 - 2,Tottenham,17/18
609,20-08-2017,Tottenham,1 - 2,Chelsea,17/18
610,27-08-2017,Tottenham,1 - 1,Burnley,17/18
611,09-09-2017,Everton,0 - 3,Tottenham,17/18
612,16-09-2017,Tottenham,0 - 0,Swansea,17/18
613,23-09-2017,West Ham,2 - 3,Tottenham,17/18
614,30-09-2017,Huddersfield,0 - 4,Tottenham,17/18
615,14-10-2017,Tottenham,1 - 0,Bournemouth,17/18
616,22-10-2017,Tottenham,4 - 1,Liverpool,17/18
617,28-10-2017,Man United,1 - 0,Tottenham,17/18
618,05-11-2017,Tottenham,1 - 0,Crystal Palace,17/18
619,18-11-2017,Arsenal,2 - 0,Tottenham,17/18
620,25-11-2017,Tottenham,1 - 1,West Brom,17/18
621,28-11-2017,Leicester,2 - 1,Tottenham,17/18
622,02-12-2017,Watford,1 - 1,Tottenham,17/18
623,09-12-2017,Tottenham,5 - 1,Stoke,17/18
624,13-12-2017,Tottenham,2 - 0,Brighton,17/18
625,16-12-2017,Man City,4 - 1,Tottenham,17/18
626,23-12-2017,Burnley,0 - 3,Tottenham,17/18
627,26-12-2017,Tottenham,5 - 2,Southampton,17/18
628,02-01-2018,Swansea,0 - 2,Tottenham,17/18
629,04-01-2018,Tottenham,1 - 1,West Ham,17/18
630,13-01-2018,Tottenham,4 - 0,Everton,17/18
631,21-01-2018,Southampton,1 - 1,Tottenham,17/18
632,31-01-2018,Tottenham,2 - 0,Man United,17/18
633,04-02-2018,Liverpool,2 - 2,Tottenham,17/18
634,10-02-2018,Tottenham,1 - 0,Arsenal,17/18
635,25-02-2018,Crystal Palace,0 - 1,Tottenham,17/18
636,03-03-2018,Tottenham,2 - 0,Huddersfield,17/18
637,11-03-2018,Bournemouth,1 - 4,Tottenham,17/18
638,01-04-2018,Chelsea,1 - 3,Tottenham,17/18
639,07-04-2018,Stoke,1 - 2,Tottenham,17/18
640,14-04-2018,Tottenham,1 - 3,Man City,17/18
641,17-04-2018,Brighton,1 - 1,Tottenham,17/18
642,30-04-2018,Tottenham,2 - 0,Watford,17/18
643,05-05-2018,West Brom,1 - 0,Tottenham,17/18
644,09-05-2018,Tottenham,1 - 0,Newcastle,17/18
645,13-05-2018,Tottenham,5 - 4,Leicester,17/18
646,12-08-2017,Watford,3 - 3,Liverpool,17/18
647,19-08-2017,Bournemouth,0 - 2,Watford,17/18
648,26-08-2017,Watford,0 - 0,Brighton,17/18
649,09-09-2017,Southampton,0 - 2,Watford,17/18
650,16-09-2017,Watford,0 - 6,Man City,17/18
651,23-09-2017,Swansea,1 - 2,Watford,17/18
652,30-09-2017,West Brom,2 - 2,Watford,17/18
653,14-10-2017,Watford,2 - 1,Arsenal,17/18
654,21-10-2017,Chelsea,4 - 2,Watford,17/18
655,28-10-2017,Watford,0 - 1,Stoke,17/18
656,05-11-2017,Everton,3 - 2,Watford,17/18
657,19-11-2017,Watford,2 - 0,West Ham,17/18
658,25-11-2017,Newcastle,0 - 3,Watford,17/18
659,28-11-2017,Watford,2 - 4,Man United,17/18
660,02-12-2017,Watford,1 - 1,Tottenham,17/18
661,09-12-2017,Burnley,1 - 0,Watford,17/18
662,12-12-2017,Crystal Palace,2 - 1,Watford,17/18
663,16-12-2017,Watford,1 - 4,Huddersfield,17/18
664,23-12-2017,Brighton,1 - 0,Watford,17/18
665,26-12-2017,Watford,2 - 1,Leicester,17/18
666,30-12-2017,Watford,1 - 2,Swansea,17/18
667,02-01-2018,Man City,3 - 1,Watford,17/18
668,13-01-2018,Watford,2 - 2,Southampton,17/18
669,20-01-2018,Leicester,2 - 0,Watford,17/18
670,31-01-2018,Stoke,0 - 0,Watford,17/18
671,05-02-2018,Watford,4 - 1,Chelsea,17/18
672,10-02-2018,West Ham,2 - 0,Watford,17/18
673,24-02-2018,Watford,1 - 0,Everton,17/18
674,03-03-2018,Watford,1 - 0,West Brom,17/18
675,11-03-2018,Arsenal,3 - 0,Watford,17/18
676,17-03-2018,Liverpool,5 - 0,Watford,17/18
677,31-03-2018,Watford,2 - 2,Bournemouth,17/18
678,07-04-2018,Watford,1 - 2,Burnley,17/18
679,14-04-2018,Huddersfield,1 - 0,Watford,17/18
680,21-04-2018,Watford,0 - 0,Crystal Palace,17/18
681,30-04-2018,Tottenham,2 - 0,Watford,17/18
682,05-05-2018,Watford,2 - 1,Newcastle,17/18
683,13-05-2018,Man United,1 - 0,Watford,17/18
684,12-08-2017,West Brom,1 - 0,Bournemouth,17/18
685,19-08-2017,Burnley,0 - 1,West Brom,17/18
686,27-08-2017,West Brom,1 - 1,Stoke,17/18
687,09-09-2017,Brighton,3 - 1,West Brom,17/18
688,16-09-2017,West Brom,0 - 0,West Ham,17/18
689,25-09-2017,Arsenal,2 - 0,West Brom,17/18
690,30-09-2017,West Brom,2 - 2,Watford,17/18
691,16-10-2017,Leicester,1 - 1,West Brom,17/18
692,21-10-2017,Southampton,1 - 0,West Brom,17/18
693,28-10-2017,West Brom,2 - 3,Man City,17/18
694,04-11-2017,Huddersfield,1 - 0,West Brom,17/18
695,18-11-2017,West Brom,0 - 4,Chelsea,17/18
696,25-11-2017,Tottenham,1 - 1,West Brom,17/18
697,28-11-2017,West Brom,2 - 2,Newcastle,17/18
698,02-12-2017,West Brom,0 - 0,Crystal Palace,17/18
699,09-12-2017,Swansea,1 - 0,West Brom,17/18
700,13-12-2017,Liverpool,0 - 0,West Brom,17/18
701,17-12-2017,West Brom,1 - 2,Man United,17/18
702,23-12-2017,Stoke,3 - 1,West Brom,17/18
703,26-12-2017,West Brom,0 - 0,Everton,17/18
704,31-12-2017,West Brom,1 - 1,Arsenal,17/18
705,02-01-2018,West Ham,2 - 1,West Brom,17/18
706,13-01-2018,West Brom,2 - 0,Brighton,17/18
707,20-01-2018,Everton,1 - 1,West Brom,17/18
708,31-01-2018,Man City,3 - 0,West Brom,17/18
709,03-02-2018,West Brom,2 - 3,Southampton,17/18
710,12-02-2018,Chelsea,3 - 0,West Brom,17/18
711,24-02-2018,West Brom,1 - 2,Huddersfield,17/18
712,03-03-2018,Watford,1 - 0,West Brom,17/18
713,10-03-2018,West Brom,1 - 4,Leicester,17/18
714,17-03-2018,Bournemouth,2 - 1,West Brom,17/18
715,31-03-2018,West Brom,1 - 2,Burnley,17/18
716,07-04-2018,West Brom,1 - 1,Swansea,17/18
717,15-04-2018,Man United,0 - 1,West Brom,17/18
718,21-04-2018,West Brom,2 - 2,Liverpool,17/18
719,28-04-2018,Newcastle,0 - 1,West Brom,17/18
720,05-05-2018,West Brom,1 - 0,Tottenham,17/18
721,13-05-2018,Crystal Palace,2 - 0,West Brom,17/18
722,13-08-2017,Man United,4 - 0,West Ham,17/18
723,19-08-2017,Southampton,3 - 2,West Ham,17/18
724,26-08-2017,Newcastle,3 - 0,West Ham,17/18
725,11-09-2017,West Ham,2 - 0,Huddersfield,17/18
726,16-09-2017,West Brom,0 - 0,West Ham,17/18
727,23-09-2017,West Ham,2 - 3,Tottenham,17/18
728,30-09-2017,West Ham,1 - 0,Swansea,17/18
729,14-10-2017,Burnley,1 - 1,West Ham,17/18
730,20-10-2017,West Ham,0 - 3,Brighton,17/18
731,28-10-2017,Crystal Palace,2 - 2,West Ham,17/18
732,04-11-2017,West Ham,1 - 4,Liverpool,17/18
733,19-11-2017,Watford,2 - 0,West Ham,17/18
734,24-11-2017,West Ham,1 - 1,Leicester,17/18
735,29-11-2017,Everton,4 - 0,West Ham,17/18
736,03-12-2017,Man City,2 - 1,West Ham,17/18
737,09-12-2017,West Ham,1 - 0,Chelsea,17/18
738,13-12-2017,West Ham,0 - 0,Arsenal,17/18
739,16-12-2017,Stoke,0 - 3,West Ham,17/18
740,23-12-2017,West Ham,2 - 3,Newcastle,17/18
741,26-12-2017,Bournemouth,3 - 3,West Ham,17/18
742,02-01-2018,West Ham,2 - 1,West Brom,17/18
743,04-01-2018,Tottenham,1 - 1,West Ham,17/18
744,13-01-2018,Huddersfield,1 - 4,West Ham,17/18
745,20-01-2018,West Ham,1 - 1,Bournemouth,17/18
746,30-01-2018,West Ham,1 - 1,Crystal Palace,17/18
747,03-02-2018,Brighton,3 - 1,West Ham,17/18
748,10-02-2018,West Ham,2 - 0,Watford,17/18
749,24-02-2018,Liverpool,4 - 1,West Ham,17/18
750,03-03-2018,Swansea,4 - 1,West Ham,17/18
751,10-03-2018,West Ham,0 - 3,Burnley,17/18
752,31-03-2018,West Ham,3 - 0,Southampton,17/18
753,08-04-2018,Chelsea,1 - 1,West Ham,17/18
754,16-04-2018,West Ham,1 - 1,Stoke,17/18
755,22-04-2018,Arsenal,4 - 1,West Ham,17/18
756,29-04-2018,West Ham,1 - 4,Man City,17/18
757,05-05-2018,Leicester,0 - 2,West Ham,17/18
758,10-05-2018,West Ham,0 - 0,Man United,17/18
759,13-05-2018,West Ham,3 - 1,Everton,17/18
760,12-08-2018,Arsenal,0 - 2,Man City,18/19
761,18-08-2018,Chelsea,3 - 2,Arsenal,18/19
762,25-08-2018,Arsenal,3 - 1,West Ham,18/19
763,02-09-2018,Cardiff,2 - 3,Arsenal,18/19
764,15-09-2018,Newcastle,1 - 2,Arsenal,18/19
765,23-09-2018,Arsenal,2 - 0,Everton,18/19
766,29-09-2018,Arsenal,2 - 0,Watford,18/19
767,07-10-2018,Fulham,1 - 5,Arsenal,18/19
768,22-10-2018,Arsenal,3 - 1,Leicester,18/19
769,28-10-2018,Crystal Palace,2 - 2,Arsenal,18/19
770,03-11-2018,Arsenal,1 - 1,Liverpool,18/19
771,11-11-2018,Arsenal,1 - 1,Wolves,18/19
772,25-11-2018,Bournemouth,1 - 2,Arsenal,18/19
773,02-12-2018,Arsenal,4 - 2,Tottenham,18/19
774,05-12-2018,Man United,2 - 2,Arsenal,18/19
775,08-12-2018,Arsenal,1 - 0,Huddersfield,18/19
776,16-12-2018,Southampton,3 - 2,Arsenal,18/19
777,22-12-2018,Arsenal,3 - 1,Burnley,18/19
778,26-12-2018,Brighton,1 - 1,Arsenal,18/19
779,29-12-2018,Liverpool,5 - 1,Arsenal,18/19
780,01-01-2019,Arsenal,4 - 1,Fulham,18/19
781,12-01-2019,West Ham,1 - 0,Arsenal,18/19
782,19-01-2019,Arsenal,2 - 0,Chelsea,18/19
783,29-01-2019,Arsenal,2 - 1,Cardiff,18/19
784,03-02-2019,Man City,3 - 1,Arsenal,18/19
785,09-02-2019,Huddersfield,1 - 2,Arsenal,18/19
786,24-02-2019,Arsenal,2 - 0,Southampton,18/19
787,27-02-2019,Arsenal,5 - 1,Bournemouth,18/19
788,02-03-2019,Tottenham,1 - 1,Arsenal,18/19
789,10-03-2019,Arsenal,2 - 0,Man United,18/19
790,01-04-2019,Arsenal,2 - 0,Newcastle,18/19
791,07-04-2019,Everton,1 - 0,Arsenal,18/19
792,15-04-2019,Watford,0 - 1,Arsenal,18/19
793,21-04-2019,Arsenal,2 - 3,Crystal Palace,18/19
794,24-04-2019,Wolves,3 - 1,Arsenal,18/19
795,28-04-2019,Leicester,3 - 0,Arsenal,18/19
796,05-05-2019,Arsenal,1 - 1,Brighton,18/19
797,12-05-2019,Burnley,1 - 3,Arsenal,18/19
798,11-08-2018,Bournemouth,2 - 0,Cardiff,18/19
799,18-08-2018,West Ham,1 - 2,Bournemouth,18/19
800,25-08-2018,Bournemouth,2 - 2,Everton,18/19
801,01-09-2018,Chelsea,2 - 0,Bournemouth,18/19
802,15-09-2018,Bournemouth,4 - 2,Leicester,18/19
803,22-09-2018,Burnley,4 - 0,Bournemouth,18/19
804,01-10-2018,Bournemouth,2 - 1,Crystal Palace,18/19
805,06-10-2018,Watford,0 - 4,Bournemouth,18/19
806,20-10-2018,Bournemouth,0 - 0,Southampton,18/19
807,27-10-2018,Fulham,0 - 3,Bournemouth,18/19
808,03-11-2018,Bournemouth,1 - 2,Man United,18/19
809,10-11-2018,Newcastle,2 - 1,Bournemouth,18/19
810,25-11-2018,Bournemouth,1 - 2,Arsenal,18/19
811,01-12-2018,Man City,3 - 1,Bournemouth,18/19
812,04-12-2018,Bournemouth,2 - 1,Huddersfield,18/19
813,08-12-2018,Bournemouth,0 - 4,Liverpool,18/19
814,15-12-2018,Wolves,2 - 0,Bournemouth,18/19
815,22-12-2018,Bournemouth,2 - 0,Brighton,18/19
816,26-12-2018,Tottenham,5 - 0,Bournemouth,18/19
817,30-12-2018,Man United,4 - 1,Bournemouth,18/19
818,02-01-2019,Bournemouth,3 - 3,Watford,18/19
819,13-01-2019,Everton,2 - 0,Bournemouth,18/19
820,19-01-2019,Bournemouth,2 - 0,West Ham,18/19
821,30-01-2019,Bournemouth,4 - 0,Chelsea,18/19
822,02-02-2019,Cardiff,2 - 0,Bournemouth,18/19
823,09-02-2019,Liverpool,3 - 0,Bournemouth,18/19
824,23-02-2019,Bournemouth,1 - 1,Wolves,18/19
825,27-02-2019,Arsenal,5 - 1,Bournemouth,18/19
826,02-03-2019,Bournemouth,0 - 1,Man City,18/19
827,09-03-2019,Huddersfield,0 - 2,Bournemouth,18/19
828,16-03-2019,Bournemouth,2 - 2,Newcastle,18/19
829,30-03-2019,Leicester,2 - 0,Bournemouth,18/19
830,06-04-2019,Bournemouth,1 - 3,Burnley,18/19
831,13-04-2019,Brighton,0 - 5,Bournemouth,18/19
832,20-04-2019,Bournemouth,0 - 1,Fulham,18/19
833,27-04-2019,Southampton,3 - 3,Bournemouth,18/19
834,04-05-2019,Bournemouth,1 - 0,Tottenham,18/19
835,12-05-2019,Crystal Palace,5 - 3,Bournemouth,18/19
836,11-08-2018,Watford,2 - 0,Brighton,18/19
837,19-08-2018,Brighton,3 - 2,Man United,18/19
838,25-08-2018,Liverpool,1 - 0,Brighton,18/19
839,01-09-2018,Brighton,2 - 2,Fulham,18/19
840,17-09-2018,Southampton,2 - 2,Brighton,18/19
841,22-09-2018,Brighton,1 - 2,Tottenham,18/19
842,29-09-2018,Man City,2 - 0,Brighton,18/19
843,05-10-2018,Brighton,1 - 0,West Ham,18/19
844,20-10-2018,Newcastle,0 - 1,Brighton,18/19
845,27-10-2018,Brighton,1 - 0,Wolves,18/19
846,03-11-2018,Everton,3 - 1,Brighton,18/19
847,10-11-2018,Cardiff,2 - 1,Brighton,18/19
848,24-11-2018,Brighton,1 - 1,Leicester,18/19
849,01-12-2018,Huddersfield,1 - 2,Brighton,18/19
850,04-12-2018,Brighton,3 - 1,Crystal Palace,18/19
851,08-12-2018,Burnley,1 - 0,Brighton,18/19
852,16-12-2018,Brighton,1 - 2,Chelsea,18/19
853,22-12-2018,Bournemouth,2 - 0,Brighton,18/19
854,26-12-2018,Brighton,1 - 1,Arsenal,18/19
855,29-12-2018,Brighton,1 - 0,Everton,18/19
856,02-01-2019,West Ham,2 - 2,Brighton,18/19
857,12-01-2019,Brighton,0 - 1,Liverpool,18/19
858,19-01-2019,Man United,2 - 1,Brighton,18/19
859,29-01-2019,Fulham,4 - 2,Brighton,18/19
860,02-02-2019,Brighton,0 - 0,Watford,18/19
861,09-02-2019,Brighton,1 - 3,Burnley,18/19
862,26-02-2019,Leicester,2 - 1,Brighton,18/19
863,02-03-2019,Brighton,1 - 0,Huddersfield,18/19
864,09-03-2019,Crystal Palace,1 - 2,Brighton,18/19
865,30-03-2019,Brighton,0 - 1,Southampton,18/19
866,03-04-2019,Chelsea,3 - 0,Brighton,18/19
867,13-04-2019,Brighton,0 - 5,Bournemouth,18/19
868,16-04-2019,Brighton,0 - 2,Cardiff,18/19
869,20-04-2019,Wolves,0 - 0,Brighton,18/19
870,23-04-2019,Tottenham,1 - 0,Brighton,18/19
871,27-04-2019,Brighton,1 - 1,Newcastle,18/19
872,05-05-2019,Arsenal,1 - 1,Brighton,18/19
873,12-05-2019,Brighton,1 - 4,Man City,18/19
874,12-08-2018,Southampton,0 - 0,Burnley,18/19
875,19-08-2018,Burnley,1 - 3,Watford,18/19
876,26-08-2018,Fulham,4 - 2,Burnley,18/19
877,02-09-2018,Burnley,0 - 2,Man United,18/19
878,16-09-2018,Wolves,1 - 0,Burnley,18/19
879,22-09-2018,Burnley,4 - 0,Bournemouth,18/19
880,30-09-2018,Cardiff,1 - 2,Burnley,18/19
881,06-10-2018,Burnley,1 - 1,Huddersfield,18/19
882,20-10-2018,Man City,5 - 0,Burnley,18/19
883,28-10-2018,Burnley,0 - 4,Chelsea,18/19
884,03-11-2018,West Ham,4 - 2,Burnley,18/19
885,10-11-2018,Leicester,0 - 0,Burnley,18/19
886,26-11-2018,Burnley,1 - 2,Newcastle,18/19
887,01-12-2018,Crystal Palace,2 - 0,Burnley,18/19
888,05-12-2018,Burnley,1 - 3,Liverpool,18/19
889,08-12-2018,Burnley,1 - 0,Brighton,18/19
890,15-12-2018,Tottenham,1 - 0,Burnley,18/19
891,22-12-2018,Arsenal,3 - 1,Burnley,18/19
892,26-12-2018,Burnley,1 - 5,Everton,18/19
893,30-12-2018,Burnley,2 - 0,West Ham,18/19
894,02-01-2019,Huddersfield,1 - 2,Burnley,18/19
895,12-01-2019,Burnley,2 - 1,Fulham,18/19
896,19-01-2019,Watford,0 - 0,Burnley,18/19
897,29-01-2019,Man United,2 - 2,Burnley,18/19
898,02-02-2019,Burnley,1 - 1,Southampton,18/19
899,09-02-2019,Brighton,1 - 3,Burnley,18/19
900,23-02-2019,Burnley,2 - 1,Tottenham,18/19
901,26-02-2019,Newcastle,2 - 0,Burnley,18/19
902,02-03-2019,Burnley,1 - 3,Crystal Palace,18/19
903,10-03-2019,Liverpool,4 - 2,Burnley,18/19
904,16-03-2019,Burnley,1 - 2,Leicester,18/19
905,30-03-2019,Burnley,2 - 0,Wolves,18/19
906,06-04-2019,Bournemouth,1 - 3,Burnley,18/19
907,13-04-2019,Burnley,2 - 0,Cardiff,18/19
908,22-04-2019,Chelsea,2 - 2,Burnley,18/19
909,28-04-2019,Burnley,0 - 1,Man City,18/19
910,03-05-2019,Everton,2 - 0,Burnley,18/19
911,12-05-2019,Burnley,1 - 3,Arsenal,18/19
912,11-08-2018,Bournemouth,2 - 0,Cardiff,18/19
913,18-08-2018,Cardiff,0 - 0,Newcastle,18/19
914,25-08-2018,Huddersfield,0 - 0,Cardiff,18/19
915,02-09-2018,Cardiff,2 - 3,Arsenal,18/19
916,15-09-2018,Chelsea,4 - 1,Cardiff,18/19
917,22-09-2018,Cardiff,0 - 5,Man City,18/19
918,30-09-2018,Cardiff,1 - 2,Burnley,18/19
919,06-10-2018,Tottenham,1 - 0,Cardiff,18/19
920,20-10-2018,Cardiff,4 - 2,Fulham,18/19
921,27-10-2018,Liverpool,4 - 1,Cardiff,18/19
922,03-11-2018,Cardiff,0 - 1,Leicester,18/19
923,10-11-2018,Cardiff,2 - 1,Brighton,18/19
924,24-11-2018,Everton,1 - 0,Cardiff,18/19
925,30-11-2018,Cardiff,2 - 1,Wolves,18/19
926,04-12-2018,West Ham,3 - 1,Cardiff,18/19
927,08-12-2018,Cardiff,1 - 0,Southampton,18/19
928,15-12-2018,Watford,3 - 2,Cardiff,18/19
929,22-12-2018,Cardiff,1 - 5,Man United,18/19
930,26-12-2018,Crystal Palace,0 - 0,Cardiff,18/19
931,29-12-2018,Leicester,0 - 1,Cardiff,18/19
932,01-01-2019,Cardiff,0 - 3,Tottenham,18/19
