,date,home_team,score,away_team,season
460,20-09-2017,Leganes,0 - 0,Girona,17/18
461,24-09-2017,Las Palmas,0 - 2,Leganes,17/18
462,30-09-2017,Leganes,0 - 0,Ath Madrid,17/18
463,15-10-2017,Malaga,0 - 2,Leganes,17/18
464,22-10-2017,Leganes,1 - 0,Ath Bilbao,17/18
465,28-10-2017,Sevilla,2 - 1,Leganes,17/18
466,04-11-2017,Valencia,3 - 0,Leganes,17/18
467,18-11-2017,Leganes,0 - 3,Barcelona,17/18
468,24-11-2017,Celta,1 - 0,Leganes,17/18
469,03-12-2017,Leganes,3 - 1,Villarreal,17/18
470,09-12-2017,La Coruna,1 - 0,Leganes,17/18
471,19-12-2017,Levante,0 - 0,Leganes,17/18
472,07-01-2018,Leganes,1 - 0,Sociedad,17/18
473,15-01-2018,Betis,3 - 2,Leganes,17/18
474,21-01-2018,Alaves,2 - 2,Leganes,17/18
475,28-01-2018,Leganes,3 - 2,Espanol,17/18
476,04-02-2018,Getafe,0 - 0,Leganes,17/18
477,10-02-2018,Leganes,0 - 1,Eibar,17/18
478,16-02-2018,Girona,3 - 0,Leganes,17/18
479,21-02-2018,Leganes,1 - 3,Real Madrid,17/18
480,24-02-2018,Leganes,0 - 0,Las Palmas,17/18
481,28-02-2018,Ath Madrid,4 - 0,Leganes,17/18
482,03-03-2018,Leganes,2 - 0,Malaga,17/18
483,11-03-2018,Ath Bilbao,2 - 0,Leganes,17/18
484,18-03-2018,Leganes,2 - 1,Sevilla,17/18
485,01-04-2018,Leganes,0 - 1,Valencia,17/18
486,07-04-2018,Barcelona,3 - 1,Leganes,17/18
487,14-04-2018,Leganes,1 - 0,Celta,17/18
488,17-04-2018,Villarreal,2 - 1,Leganes,17/18
489,20-04-2018,Leganes,0 - 0,La Coruna,17/18
490,28-04-2018,Real Madrid,2 - 1,Leganes,17/18
491,07-05-2018,Leganes,0 - 3,Levante,17/18
492,12-05-2018,Sociedad,3 - 2,Leganes,17/18
493,19-05-2018,Leganes,3 - 2,Betis,17/18
494,21-08-2017,Levante,1 - 0,Villarreal,17/18
495,26-08-2017,Levante,2 - 2,La Coruna,17/18
496,09-09-2017,Real Madrid,1 - 1,Levante,17/18
497,16-09-2017,Levante,1 - 1,Valencia,17/18
498,21-09-2017,Levante,3 - 0,Sociedad,17/18
499,25-09-2017,Betis,4 - 0,Levante,17/18
500,30-09-2017,Levante,0 - 2,Alaves,17/18
501,13-10-2017,Espanol,0 - 0,Levante,17/18
502,21-10-2017,Levante,1 - 1,Getafe,17/18
503,29-10-2017,Eibar,2 - 2,Levante,17/18
504,05-11-2017,Levante,1 - 2,Girona,17/18
505,19-11-2017,Las Palmas,0 - 2,Levante,17/18
506,25-11-2017,Levante,0 - 5,Ath Madrid,17/18
507,01-12-2017,Malaga,0 - 0,Levante,17/18
508,10-12-2017,Levante,1 - 2,Ath Bilbao,17/18
509,15-12-2017,Sevilla,0 - 0,Levante,17/18
510,19-12-2017,Levante,0 - 0,Leganes,17/18
511,07-01-2018,Barcelona,3 - 0,Levante,17/18
512,14-01-2018,Levante,0 - 1,Celta,17/18
513,20-01-2018,Villarreal,2 - 1,Levante,17/18
514,27-01-2018,La Coruna,2 - 2,Levante,17/18
515,03-02-2018,Levante,2 - 2,Real Madrid,17/18
516,11-02-2018,Valencia,3 - 1,Levante,17/18
517,18-02-2018,Sociedad,3 - 0,Levante,17/18
518,26-02-2018,Levante,0 - 2,Betis,17/18
519,01-03-2018,Alaves,1 - 0,Levante,17/18
520,04-03-2018,Levante,1 - 1,Espanol,17/18
521,10-03-2018,Getafe,0 - 1,Levante,17/18
522,16-03-2018,Levante,2 - 1,Eibar,17/18
523,31-03-2018,Girona,1 - 1,Levante,17/18
524,08-04-2018,Levante,2 - 1,Las Palmas,17/18
525,15-04-2018,Ath Madrid,3 - 0,Levante,17/18
526,19-04-2018,Levante,1 - 0,Malaga,17/18
527,23-04-2018,Ath Bilbao,1 - 3,Levante,17/18
528,27-04-2018,Levante,2 - 1,Sevilla,17/18
529,07-05-2018,Leganes,0 - 3,Levante,17/18
530,13-05-2018,Levante,5 - 4,Barcelona,17/18
531,19-05-2018,Celta,4 - 2,Levante,17/18
532,21-08-2017,Malaga,0 - 1,Eibar,17/18
533,26-08-2017,Girona,1 - 0,Malaga,17/18
534,11-09-2017,Malaga,1 - 3,Las Palmas,17/18
535,16-09-2017,Ath Madrid,1 - 0,Malaga,17/18
536,19-09-2017,Valencia,5 - 0,Malaga,17/18
537,23-09-2017,Malaga,3 - 3,Ath Bilbao,17/18
538,30-09-2017,Sevilla,2 - 0,Malaga,17/18
539,15-10-2017,Malaga,0 - 2,Leganes,17/18
540,21-10-2017,Barcelona,2 - 0,Malaga,17/18
541,29-10-2017,Malaga,2 - 1,Celta,17/18
542,05-11-2017,Villarreal,2 - 0,Malaga,17/18
543,19-11-2017,Malaga,3 - 2,La Coruna,17/18
544,25-11-2017,Real Madrid,3 - 2,Malaga,17/18
545,01-12-2017,Malaga,0 - 0,Levante,17/18
546,10-12-2017,Sociedad,0 - 2,Malaga,17/18
547,18-12-2017,Malaga,0 - 2,Betis,17/18
548,21-12-2017,Alaves,1 - 0,Malaga,17/18
549,08-01-2018,Malaga,0 - 1,Espanol,17/18
550,12-01-2018,Getafe,1 - 0,Malaga,17/18
551,22-01-2018,Eibar,1 - 1,Malaga,17/18
552,27-01-2018,Malaga,0 - 0,Girona,17/18
553,05-02-2018,Las Palmas,1 - 0,Malaga,17/18
554,10-02-2018,Malaga,0 - 1,Ath Madrid,17/18
555,17-02-2018,Malaga,1 - 2,Valencia,17/18
556,25-02-2018,Ath Bilbao,2 - 1,Malaga,17/18
557,28-02-2018,Malaga,0 - 1,Sevilla,17/18
558,03-03-2018,Leganes,2 - 0,Malaga,17/18
559,10-03-2018,Malaga,0 - 2,Barcelona,17/18
560,18-03-2018,Celta,0 - 0,Malaga,17/18
561,01-04-2018,Malaga,1 - 0,Villarreal,17/18
562,06-04-2018,La Coruna,3 - 2,Malaga,17/18
563,15-04-2018,Malaga,1 - 2,Real Madrid,17/18
564,19-04-2018,Levante,1 - 0,Malaga,17/18
565,22-04-2018,Malaga,2 - 0,Sociedad,17/18
566,30-04-2018,Betis,2 - 1,Malaga,17/18
567,06-05-2018,Malaga,0 - 3,Alaves,17/18
568,13-05-2018,Espanol,4 - 1,Malaga,17/18
569,19-05-2018,Malaga,0 - 1,Getafe,17/18
570,20-08-2017,La Coruna,0 - 3,Real Madrid,17/18
571,27-08-2017,Real Madrid,2 - 2,Valencia,17/18
572,09-09-2017,Real Madrid,1 - 1,Levante,17/18
573,17-09-2017,Sociedad,1 - 3,Real Madrid,17/18
574,20-09-2017,Real Madrid,0 - 1,Betis,17/18
575,23-09-2017,Alaves,1 - 2,Real Madrid,17/18
576,01-10-2017,Real Madrid,2 - 0,Espanol,17/18
577,14-10-2017,Getafe,1 - 2,Real Madrid,17/18
578,22-10-2017,Real Madrid,3 - 0,Eibar,17/18
579,29-10-2017,Girona,2 - 1,Real Madrid,17/18
580,05-11-2017,Real Madrid,3 - 0,Las Palmas,17/18
581,18-11-2017,Ath Madrid,0 - 0,Real Madrid,17/18
582,25-11-2017,Real Madrid,3 - 2,Malaga,17/18
583,02-12-2017,Ath Bilbao,0 - 0,Real Madrid,17/18
584,09-12-2017,Real Madrid,5 - 0,Sevilla,17/18
585,23-12-2017,Real Madrid,0 - 3,Barcelona,17/18
586,07-01-2018,Celta,2 - 2,Real Madrid,17/18
587,13-01-2018,Real Madrid,0 - 1,Villarreal,17/18
588,21-01-2018,Real Madrid,7 - 1,La Coruna,17/18
589,27-01-2018,Valencia,1 - 4,Real Madrid,17/18
590,03-02-2018,Levante,2 - 2,Real Madrid,17/18
591,10-02-2018,Real Madrid,5 - 2,Sociedad,17/18
592,18-02-2018,Betis,3 - 5,Real Madrid,17/18
593,21-02-2018,Leganes,1 - 3,Real Madrid,17/18
594,24-02-2018,Real Madrid,4 - 0,Alaves,17/18
595,27-02-2018,Espanol,1 - 0,Real Madrid,17/18
596,03-03-2018,Real Madrid,3 - 1,Getafe,17/18
597,10-03-2018,Eibar,1 - 2,Real Madrid,17/18
598,18-03-2018,Real Madrid,6 - 3,Girona,17/18
599,31-03-2018,Las Palmas,0 - 3,Real Madrid,17/18
600,08-04-2018,Real Madrid,1 - 1,Ath Madrid,17/18
601,15-04-2018,Malaga,1 - 2,Real Madrid,17/18
602,18-04-2018,Real Madrid,1 - 1,Ath Bilbao,17/18
603,28-04-2018,Real Madrid,2 - 1,Leganes,17/18
604,06-05-2018,Barcelona,2 - 2,Real Madrid,17/18
605,09-05-2018,Sevilla,3 - 2,Real Madrid,17/18
606,12-05-2018,Real Madrid,6 - 0,Celta,17/18
607,19-05-2018,Villarreal,2 - 2,Real Madrid,17/18
608,19-08-2017,Sevilla,1 - 1,Espanol,17/18
609,27-08-2017,Getafe,0 - 1,Sevilla,17/18
610,09-09-2017,Sevilla,3 - 0,Eibar,17/18
611,17-09-2017,Girona,0 - 1,Sevilla,17/18
612,20-09-2017,Sevilla,1 - 0,Las Palmas,17/18
613,23-09-2017,Ath Madrid,2 - 0,Sevilla,17/18
614,30-09-2017,Sevilla,2 - 0,Malaga,17/18
615,14-10-2017,Ath Bilbao,1 - 0,Sevilla,17/18
616,21-10-2017,Valencia,4 - 0,Sevilla,17/18
617,28-10-2017,Sevilla,2 - 1,Leganes,17/18
618,04-11-2017,Barcelona,2 - 1,Sevilla,17/18
619,18-11-2017,Sevilla,2 - 1,Celta,17/18
620,26-11-2017,Villarreal,2 - 3,Sevilla,17/18
621,02-12-2017,Sevilla,2 - 0,La Coruna,17/18
622,09-12-2017,Real Madrid,5 - 0,Sevilla,17/18
623,15-12-2017,Sevilla,0 - 0,Levante,17/18
624,20-12-2017,Sociedad,3 - 1,Sevilla,17/18
625,06-01-2018,Sevilla,3 - 5,Betis,17/18
626,14-01-2018,Alaves,1 - 0,Sevilla,17/18
627,20-01-2018,Espanol,0 - 3,Sevilla,17/18
628,28-01-2018,Sevilla,1 - 1,Getafe,17/18
629,03-02-2018,Eibar,5 - 1,Sevilla,17/18
630,11-02-2018,Sevilla,1 - 0,Girona,17/18
631,17-02-2018,Las Palmas,1 - 2,Sevilla,17/18
632,25-02-2018,Sevilla,2 - 5,Ath Madrid,17/18
633,28-02-2018,Malaga,0 - 1,Sevilla,17/18
634,03-03-2018,Sevilla,2 - 0,Ath Bilbao,17/18
635,10-03-2018,Sevilla,0 - 2,Valencia,17/18
636,18-03-2018,Leganes,2 - 1,Sevilla,17/18
637,31-03-2018,Sevilla,2 - 2,Barcelona,17/18
638,07-04-2018,Celta,4 - 0,Sevilla,17/18
639,14-04-2018,Sevilla,2 - 2,Villarreal,17/18
640,17-04-2018,La Coruna,0 - 0,Sevilla,17/18
641,27-04-2018,Levante,2 - 1,Sevilla,17/18
642,04-05-2018,Sevilla,1 - 0,Sociedad,17/18
643,09-05-2018,Sevilla,3 - 2,Real Madrid,17/18
644,12-05-2018,Betis,2 - 2,Sevilla,17/18
645,19-05-2018,Sevilla,1 - 0,Alaves,17/18
646,19-08-2017,Celta,2 - 3,Sociedad,17/18
647,25-08-2017,Sociedad,3 - 0,Villarreal,17/18
648,10-09-2017,La Coruna,2 - 4,Sociedad,17/18
649,17-09-2017,Sociedad,1 - 3,Real Madrid,17/18
650,21-09-2017,Levante,3 - 0,Sociedad,17/18
651,24-09-2017,Sociedad,2 - 3,Valencia,17/18
652,01-10-2017,Sociedad,4 - 4,Betis,17/18
653,14-10-2017,Alaves,0 - 2,Sociedad,17/18
654,23-10-2017,Sociedad,1 - 1,Espanol,17/18
655,29-10-2017,Getafe,2 - 1,Sociedad,17/18
656,05-11-2017,Sociedad,3 - 1,Eibar,17/18
657,17-11-2017,Girona,1 - 1,Sociedad,17/18
658,26-11-2017,Sociedad,2 - 2,Las Palmas,17/18
659,02-12-2017,Ath Madrid,2 - 1,Sociedad,17/18
660,10-12-2017,Sociedad,0 - 2,Malaga,17/18
661,16-12-2017,Ath Bilbao,0 - 0,Sociedad,17/18
662,20-12-2017,Sociedad,3 - 1,Sevilla,17/18
663,07-01-2018,Leganes,1 - 0,Sociedad,17/18
664,14-01-2018,Sociedad,2 - 4,Barcelona,17/18
665,21-01-2018,Sociedad,1 - 2,Celta,17/18
666,27-01-2018,Villarreal,4 - 2,Sociedad,17/18
667,02-02-2018,Sociedad,5 - 0,La Coruna,17/18
668,10-02-2018,Real Madrid,5 - 2,Sociedad,17/18
669,18-02-2018,Sociedad,3 - 0,Levante,17/18
670,25-02-2018,Valencia,2 - 1,Sociedad,17/18
671,01-03-2018,Betis,0 - 0,Sociedad,17/18
672,04-03-2018,Sociedad,2 - 1,Alaves,17/18
673,11-03-2018,Espanol,2 - 1,Sociedad,17/18
674,17-03-2018,Sociedad,1 - 2,Getafe,17/18
675,01-04-2018,Eibar,0 - 0,Sociedad,17/18
676,08-04-2018,Sociedad,5 - 0,Girona,17/18
677,14-04-2018,Las Palmas,0 - 1,Sociedad,17/18
678,19-04-2018,Sociedad,3 - 0,Ath Madrid,17/18
679,22-04-2018,Malaga,2 - 0,Sociedad,17/18
680,28-04-2018,Sociedad,3 - 1,Ath Bilbao,17/18
681,04-05-2018,Sevilla,1 - 0,Sociedad,17/18
682,12-05-2018,Sociedad,3 - 2,Leganes,17/18
683,20-05-2018,Barcelona,1 - 0,Sociedad,17/18
684,18-08-2017,Valencia,1 - 0,Las Palmas,17/18
685,27-08-2017,Real Madrid,2 - 2,Valencia,17/18
686,09-09-2017,Valencia,0 - 0,Ath Madrid,17/18
687,16-09-2017,Levante,1 - 1,Valencia,17/18
688,19-09-2017,Valencia,5 - 0,Malaga,17/18
689,24-09-2017,Sociedad,2 - 3,Valencia,17/18
690,01-10-2017,Valencia,3 - 2,Ath Bilbao,17/18
691,15-10-2017,Betis,3 - 6,Valencia,17/18
692,21-10-2017,Valencia,4 - 0,Sevilla,17/18
693,28-10-2017,Alaves,1 - 2,Valencia,17/18
694,04-11-2017,Valencia,3 - 0,Leganes,17/18
695,19-11-2017,Espanol,0 - 2,Valencia,17/18
696,26-11-2017,Valencia,1 - 1,Barcelona,17/18
697,03-12-2017,Getafe,1 - 0,Valencia,17/18
698,09-12-2017,Valencia,2 - 1,Celta,17/18
699,16-12-2017,Eibar,2 - 1,Valencia,17/18
700,23-12-2017,Valencia,0 - 1,Villarreal,17/18
701,06-01-2018,Valencia,2 - 1,Girona,17/18
702,13-01-2018,La Coruna,1 - 2,Valencia,17/18
703,20-01-2018,Las Palmas,2 - 1,Valencia,17/18
704,27-01-2018,Valencia,1 - 4,Real Madrid,17/18
705,04-02-2018,Ath Madrid,1 - 0,Valencia,17/18
706,11-02-2018,Valencia,3 - 1,Levante,17/18
707,17-02-2018,Malaga,1 - 2,Valencia,17/18
708,25-02-2018,Valencia,2 - 1,Sociedad,17/18
709,28-02-2018,Ath Bilbao,1 - 1,Valencia,17/18
710,04-03-2018,Valencia,2 - 0,Betis,17/18
711,10-03-2018,Sevilla,0 - 2,Valencia,17/18
712,17-03-2018,Valencia,3 - 1,Alaves,17/18
713,01-04-2018,Leganes,0 - 1,Valencia,17/18
714,08-04-2018,Valencia,1 - 0,Espanol,17/18
715,14-04-2018,Barcelona,2 - 1,Valencia,17/18
716,18-04-2018,Valencia,1 - 2,Getafe,17/18
717,21-04-2018,Celta,1 - 1,Valencia,17/18
718,29-04-2018,Valencia,0 - 0,Eibar,17/18
719,05-05-2018,Villarreal,1 - 0,Valencia,17/18
720,12-05-2018,Girona,0 - 1,Valencia,17/18
721,20-05-2018,Valencia,2 - 1,La Coruna,17/18
722,21-08-2017,Levante,1 - 0,Villarreal,17/18
723,25-08-2017,Sociedad,3 - 0,Villarreal,17/18
724,10-09-2017,Villarreal,3 - 1,Betis,17/18
725,17-09-2017,Alaves,0 - 3,Villarreal,17/18
726,21-09-2017,Villarreal,0 - 0,Espanol,17/18
727,24-09-2017,Getafe,4 - 0,Villarreal,17/18
728,01-10-2017,Villarreal,3 - 0,Eibar,17/18
729,15-10-2017,Girona,1 - 2,Villarreal,17/18
730,22-10-2017,Villarreal,4 - 0,Las Palmas,17/18
731,28-10-2017,Ath Madrid,1 - 1,Villarreal,17/18
732,05-11-2017,Villarreal,2 - 0,Malaga,17/18
733,19-11-2017,Ath Bilbao,1 - 1,Villarreal,17/18
734,26-11-2017,Villarreal,2 - 3,Sevilla,17/18
735,03-12-2017,Leganes,3 - 1,Villarreal,17/18
736,10-12-2017,Villarreal,0 - 2,Barcelona,17/18
737,17-12-2017,Celta,0 - 1,Villarreal,17/18
738,23-12-2017,Valencia,0 - 1,Villarreal,17/18
739,07-01-2018,Villarreal,1 - 1,La Coruna,17/18
740,13-01-2018,Real Madrid,0 - 1,Villarreal,17/18
741,20-01-2018,Villarreal,2 - 1,Levante,17/18
742,27-01-2018,Villarreal,4 - 2,Sociedad,17/18
743,03-02-2018,Betis,2 - 1,Villarreal,17/18
744,10-02-2018,Villarreal,1 - 2,Alaves,17/18
745,18-02-2018,Espanol,1 - 1,Villarreal,17/18
746,25-02-2018,Villarreal,1 - 0,Getafe,17/18
747,28-02-2018,Eibar,1 - 0,Villarreal,17/18
748,03-03-2018,Villarreal,0 - 2,Girona,17/18
749,11-03-2018,Las Palmas,0 - 2,Villarreal,17/18
750,18-03-2018,Villarreal,2 - 1,Ath Madrid,17/18
751,01-04-2018,Malaga,1 - 0,Villarreal,17/18
752,09-04-2018,Villarreal,1 - 3,Ath Bilbao,17/18
753,14-04-2018,Sevilla,2 - 2,Villarreal,17/18
754,17-04-2018,Villarreal,2 - 1,Leganes,17/18
755,28-04-2018,Villarreal,4 - 1,Celta,17/18
756,05-05-2018,Villarreal,1 - 0,Valencia,17/18
757,09-05-2018,Barcelona,5 - 1,Villarreal,17/18
758,12-05-2018,La Coruna,2 - 4,Villarreal,17/18
759,19-05-2018,Villarreal,2 - 2,Real Madrid,17/18
760,18-08-2018,Barcelona,3 - 0,Alaves,18/19
761,25-08-2018,Alaves,0 - 0,Betis,18/19
762,02-09-2018,Alaves,2 - 1,Espanol,18/19
763,16-09-2018,Valladolid,0 - 1,Alaves,18/19
764,22-09-2018,Vallecano,1 - 5,Alaves,18/19
765,27-09-2018,Alaves,1 - 1,Getafe,18/19
766,30-09-2018,Levante,2 - 1,Alaves,18/19
767,06-10-2018,Alaves,1 - 0,Real Madrid,18/19
768,19-10-2018,Celta,0 - 1,Alaves,18/19
769,28-10-2018,Alaves,2 - 1,Villarreal,18/19
770,04-11-2018,Eibar,2 - 1,Alaves,18/19
771,11-11-2018,Alaves,2 - 1,Huesca,18/19
772,23-11-2018,Leganes,1 - 0,Alaves,18/19
773,02-12-2018,Alaves,1 - 1,Sevilla,18/19
774,08-12-2018,Ath Madrid,3 - 0,Alaves,18/19
775,17-12-2018,Alaves,0 - 0,Ath Bilbao,18/19
776,21-12-2018,Sociedad,0 - 1,Alaves,18/19
777,05-01-2019,Alaves,2 - 1,Valencia,18/19
778,12-01-2019,Girona,1 - 1,Alaves,18/19
779,18-01-2019,Getafe,4 - 0,Alaves,18/19
780,28-01-2019,Alaves,0 - 1,Vallecano,18/19
781,03-02-2019,Real Madrid,3 - 0,Alaves,18/19
782,11-02-2019,Alaves,2 - 0,Levante,18/19
783,17-02-2019,Betis,1 - 1,Alaves,18/19
784,23-02-2019,Alaves,0 - 0,Celta,18/19
785,02-03-2019,Villarreal,1 - 2,Alaves,18/19
786,09-03-2019,Alaves,1 - 1,Eibar,18/19
787,16-03-2019,Huesca,1 - 3,Alaves,18/19
788,30-03-2019,Alaves,0 - 4,Ath Madrid,18/19
789,04-04-2019,Sevilla,2 - 0,Alaves,18/19
790,07-04-2019,Alaves,1 - 1,Leganes,18/19
791,13-04-2019,Espanol,2 - 1,Alaves,18/19
792,19-04-2019,Alaves,2 - 2,Valladolid,18/19
793,23-04-2019,Alaves,0 - 2,Barcelona,18/19
794,27-04-2019,Ath Bilbao,1 - 1,Alaves,18/19
795,04-05-2019,Alaves,0 - 1,Sociedad,18/19
796,12-05-2019,Valencia,3 - 1,Alaves,18/19
797,18-05-2019,Alaves,2 - 1,Girona,18/19
798,20-08-2018,Ath Bilbao,2 - 1,Leganes,18/19
799,27-08-2018,Ath Bilbao,2 - 2,Huesca,18/19
800,15-09-2018,Ath Bilbao,1 - 1,Real Madrid,18/19
801,23-09-2018,Betis,2 - 2,Ath Bilbao,18/19
802,26-09-2018,Ath Bilbao,0 - 3,Villarreal,18/19
803,29-09-2018,Barcelona,1 - 1,Ath Bilbao,18/19
804,05-10-2018,Ath Bilbao,1 - 3,Sociedad,18/19
805,21-10-2018,Eibar,1 - 1,Ath Bilbao,18/19
806,24-10-2018,Vallecano,1 - 1,Ath Bilbao,18/19
807,27-10-2018,Ath Bilbao,0 - 0,Valencia,18/19
808,05-11-2018,Espanol,1 - 0,Ath Bilbao,18/19
809,10-11-2018,Ath Madrid,3 - 2,Ath Bilbao,18/19
810,25-11-2018,Ath Bilbao,1 - 1,Getafe,18/19
811,03-12-2018,Levante,3 - 0,Ath Bilbao,18/19
812,10-12-2018,Ath Bilbao,1 - 0,Girona,18/19
813,17-12-2018,Alaves,0 - 0,Ath Bilbao,18/19
814,22-12-2018,Ath Bilbao,1 - 1,Valladolid,18/19
815,07-01-2019,Celta,1 - 2,Ath Bilbao,18/19
816,13-01-2019,Ath Bilbao,2 - 0,Sevilla,18/19
817,20-01-2019,Villarreal,1 - 1,Ath Bilbao,18/19
818,27-01-2019,Ath Bilbao,1 - 0,Betis,18/19
819,02-02-2019,Sociedad,2 - 1,Ath Bilbao,18/19
820,10-02-2019,Ath Bilbao,0 - 0,Barcelona,18/19
821,18-02-2019,Huesca,0 - 1,Ath Bilbao,18/19
822,23-02-2019,Ath Bilbao,1 - 0,Eibar,18/19
823,03-03-2019,Valencia,2 - 0,Ath Bilbao,18/19
824,08-03-2019,Ath Bilbao,1 - 1,Espanol,18/19
825,16-03-2019,Ath Bilbao,2 - 0,Ath Madrid,18/19
826,29-03-2019,Girona,1 - 2,Ath Bilbao,18/19
827,03-04-2019,Ath Bilbao,3 - 2,Levante,18/19
828,07-04-2019,Getafe,1 - 0,Ath Bilbao,18/19
829,14-04-2019,Ath Bilbao,3 - 2,Vallecano,18/19
830,21-04-2019,Real Madrid,3 - 0,Ath Bilbao,18/19
831,24-04-2019,Leganes,0 - 1,Ath Bilbao,18/19
832,27-04-2019,Ath Bilbao,1 - 1,Alaves,18/19
833,05-05-2019,Valladolid,1 - 0,Ath Bilbao,18/19
834,12-05-2019,Ath Bilbao,3 - 1,Celta,18/19
835,18-05-2019,Sevilla,2 - 0,Ath Bilbao,18/19
836,20-08-2018,Valencia,1 - 1,Ath Madrid,18/19
837,25-08-2018,Ath Madrid,1 - 0,Vallecano,18/19
838,01-09-2018,Celta,2 - 0,Ath Madrid,18/19
839,15-09-2018,Ath Madrid,1 - 1,Eibar,18/19
840,22-09-2018,Getafe,0 - 2,Ath Madrid,18/19
841,25-09-2018,Ath Madrid,3 - 0,Huesca,18/19
842,29-09-2018,Real Madrid,0 - 0,Ath Madrid,18/19
843,07-10-2018,Ath Madrid,1 - 0,Betis,18/19
844,20-10-2018,Villarreal,1 - 1,Ath Madrid,18/19
845,27-10-2018,Ath Madrid,2 - 0,Sociedad,18/19
846,03-11-2018,Leganes,1 - 1,Ath Madrid,18/19
847,10-11-2018,Ath Madrid,3 - 2,Ath Bilbao,18/19
848,24-11-2018,Ath Madrid,1 - 1,Barcelona,18/19
849,02-12-2018,Girona,1 - 1,Ath Madrid,18/19
850,08-12-2018,Ath Madrid,3 - 0,Alaves,18/19
851,15-12-2018,Valladolid,2 - 3,Ath Madrid,18/19
852,22-12-2018,Ath Madrid,1 - 0,Espanol,18/19
853,06-01-2019,Sevilla,1 - 1,Ath Madrid,18/19
854,13-01-2019,Ath Madrid,1 - 0,Levante,18/19
855,19-01-2019,Huesca,0 - 3,Ath Madrid,18/19
856,26-01-2019,Ath Madrid,2 - 0,Getafe,18/19
857,03-02-2019,Betis,1 - 0,Ath Madrid,18/19
858,09-02-2019,Ath Madrid,1 - 3,Real Madrid,18/19
859,16-02-2019,Vallecano,0 - 1,Ath Madrid,18/19
860,24-02-2019,Ath Madrid,2 - 0,Villarreal,18/19
861,03-03-2019,Sociedad,0 - 2,Ath Madrid,18/19
862,09-03-2019,Ath Madrid,1 - 0,Leganes,18/19
863,16-03-2019,Ath Bilbao,2 - 0,Ath Madrid,18/19
864,30-03-2019,Alaves,0 - 4,Ath Madrid,18/19
865,02-04-2019,Ath Madrid,2 - 0,Girona,18/19
866,06-04-2019,Barcelona,2 - 0,Ath Madrid,18/19
867,13-04-2019,Ath Madrid,2 - 0,Celta,18/19
868,20-04-2019,Eibar,0 - 1,Ath Madrid,18/19
869,24-04-2019,Ath Madrid,3 - 2,Valencia,18/19
870,27-04-2019,Ath Madrid,1 - 0,Valladolid,18/19
871,04-05-2019,Espanol,3 - 0,Ath Madrid,18/19
872,12-05-2019,Ath Madrid,1 - 1,Sevilla,18/19
873,18-05-2019,Levante,2 - 2,Ath Madrid,18/19
874,18-08-2018,Barcelona,3 - 0,Alaves,18/19
875,25-08-2018,Valladolid,0 - 1,Barcelona,18/19
876,02-09-2018,Barcelona,8 - 2,Huesca,18/19
877,15-09-2018,Sociedad,1 - 2,Barcelona,18/19
878,23-09-2018,Barcelona,2 - 2,Girona,18/19
879,26-09-2018,Leganes,2 - 1,Barcelona,18/19
880,29-09-2018,Barcelona,1 - 1,Ath Bilbao,18/19
881,07-10-2018,Valencia,1 - 1,Barcelona,18/19
882,20-10-2018,Barcelona,4 - 2,Sevilla,18/19
883,28-10-2018,Barcelona,5 - 1,Real Madrid,18/19
884,03-11-2018,Vallecano,2 - 3,Barcelona,18/19
885,11-11-2018,Barcelona,3 - 4,Betis,18/19
886,24-11-2018,Ath Madrid,1 - 1,Barcelona,18/19
887,02-12-2018,Barcelona,2 - 0,Villarreal,18/19
888,08-12-2018,Espanol,0 - 4,Barcelona,18/19
889,16-12-2018,Levante,0 - 5,Barcelona,18/19
890,22-12-2018,Barcelona,2 - 0,Celta,18/19
891,06-01-2019,Getafe,1 - 2,Barcelona,18/19
892,13-01-2019,Barcelona,3 - 0,Eibar,18/19
893,20-01-2019,Barcelona,3 - 1,Leganes,18/19
894,27-01-2019,Girona,0 - 2,Barcelona,18/19
895,02-02-2019,Barcelona,2 - 2,Valencia,18/19
896,10-02-2019,Ath Bilbao,0 - 0,Barcelona,18/19
897,16-02-2019,Barcelona,1 - 0,Valladolid,18/19
898,23-02-2019,Sevilla,2 - 4,Barcelona,18/19
899,02-03-2019,Real Madrid,0 - 1,Barcelona,18/19
900,09-03-2019,Barcelona,3 - 1,Vallecano,18/19
901,17-03-2019,Betis,1 - 4,Barcelona,18/19
902,30-03-2019,Barcelona,2 - 0,Espanol,18/19
903,02-04-2019,Villarreal,4 - 4,Barcelona,18/19
904,06-04-2019,Barcelona,2 - 0,Ath Madrid,18/19
905,13-04-2019,Huesca,0 - 0,Barcelona,18/19
906,20-04-2019,Barcelona,2 - 1,Sociedad,18/19
907,23-04-2019,Alaves,0 - 2,Barcelona,18/19
908,27-04-2019,Barcelona,1 - 0,Levante,18/19
909,04-05-2019,Celta,2 - 0,Barcelona,18/19
910,12-05-2019,Barcelona,2 - 0,Getafe,18/19
911,19-05-2019,Eibar,2 - 2,Barcelona,18/19
912,17-08-2018,Betis,0 - 3,Levante,18/19
913,25-08-2018,Alaves,0 - 0,Betis,18/19
914,02-09-2018,Betis,1 - 0,Sevilla,18/19
915,15-09-2018,Valencia,0 - 0,Betis,18/19
916,23-09-2018,Betis,2 - 2,Ath Bilbao,18/19
