,date,home_team,score,away_team,season
100,25-02-2018,Sevilla,2 - 5,Ath Madrid,17/18
101,28-02-2018,Ath Madrid,4 - 0,Leganes,17/18
102,04-03-2018,Barcelona,1 - 0,Ath Madrid,17/18
103,11-03-2018,Ath Madrid,3 - 0,Celta,17/18
104,18-03-2018,Villarreal,2 - 1,Ath Madrid,17/18
105,01-04-2018,Ath Madrid,1 - 0,La Coruna,17/18
106,08-04-2018,Real Madrid,1 - 1,Ath Madrid,17/18
107,15-04-2018,Ath Madrid,3 - 0,Levante,17/18
108,19-04-2018,Sociedad,3 - 0,Ath Madrid,17/18
109,22-04-2018,Ath Madrid,0 - 0,Betis,17/18
110,29-04-2018,Alaves,0 - 1,Ath Madrid,17/18
111,06-05-2018,Ath Madrid,0 - 2,Espanol,17/18
112,12-05-2018,Getafe,0 - 1,Ath Madrid,17/18
113,20-05-2018,Ath Madrid,2 - 2,Eibar,17/18
114,20-08-2017,Barcelona,2 - 0,Betis,17/18
115,26-08-2017,Alaves,0 - 2,Barcelona,17/18
116,09-09-2017,Barcelona,5 - 0,Espanol,17/18
117,16-09-2017,Getafe,1 - 2,Barcelona,17/18
118,19-09-2017,Barcelona,6 - 1,Eibar,17/18
119,23-09-2017,Girona,0 - 3,Barcelona,17/18
120,01-10-2017,Barcelona,3 - 0,Las Palmas,17/18
121,14-10-2017,Ath Madrid,1 - 1,Barcelona,17/18
122,21-10-2017,Barcelona,2 - 0,Malaga,17/18
123,28-10-2017,Ath Bilbao,0 - 2,Barcelona,17/18
124,04-11-2017,Barcelona,2 - 1,Sevilla,17/18
125,18-11-2017,Leganes,0 - 3,Barcelona,17/18
126,26-11-2017,Valencia,1 - 1,Barcelona,17/18
127,02-12-2017,Barcelona,2 - 2,Celta,17/18
128,10-12-2017,Villarreal,0 - 2,Barcelona,17/18
129,17-12-2017,Barcelona,4 - 0,La Coruna,17/18
130,23-12-2017,Real Madrid,0 - 3,Barcelona,17/18
131,07-01-2018,Barcelona,3 - 0,Levante,17/18
132,14-01-2018,Sociedad,2 - 4,Barcelona,17/18
133,21-01-2018,Betis,0 - 5,Barcelona,17/18
134,28-01-2018,Barcelona,2 - 1,Alaves,17/18
135,04-02-2018,Espanol,1 - 1,Barcelona,17/18
136,11-02-2018,Barcelona,0 - 0,Getafe,17/18
137,17-02-2018,Eibar,0 - 2,Barcelona,17/18
138,24-02-2018,Barcelona,6 - 1,Girona,17/18
139,01-03-2018,Las Palmas,1 - 1,Barcelona,17/18
140,04-03-2018,Barcelona,1 - 0,Ath Madrid,17/18
141,10-03-2018,Malaga,0 - 2,Barcelona,17/18
142,18-03-2018,Barcelona,2 - 0,Ath Bilbao,17/18
143,31-03-2018,Sevilla,2 - 2,Barcelona,17/18
144,07-04-2018,Barcelona,3 - 1,Leganes,17/18
145,14-04-2018,Barcelona,2 - 1,Valencia,17/18
146,17-04-2018,Celta,2 - 2,Barcelona,17/18
147,29-04-2018,La Coruna,2 - 4,Barcelona,17/18
